instructor,instructor_first_name,course,course_name,num_excellence_awards,num_outstanding_awards,uiuc_award,national_award,rmp_num_reviews,rmp_rating,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,term,num_sections,gened,num_semesters,num_students,avg_gpa,total_faculty_awards,teaching_next_semester
Lan,You,HIST 281: Constructing Race in America,Constructing Race in America,0.0,0.0,[],[],0.0,,0.0,0.45454545454545453,0.09090909090909091,0.13636363636363635,0.045454545454545456,0.045454545454545456,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.09090909090909091,['fa2022'],1.0,"Humanities - Hist & Phil, Cultural Studies - US Minority",1,22.0,3.1363636363636362,0,False
Pederson,Lance,HIST 281: Constructing Race in America,Constructing Race in America,0.0,0.0,[],[],0.0,,0.4444444444444444,0.3111111111111111,0.1111111111111111,0.022222222222222223,0.044444444444444446,0.0,0.022222222222222223,0.022222222222222223,0.0,0.0,0.0,0.0,0.022222222222222223,['fa2024'],2.0,"Humanities - Hist & Phil, Cultural Studies - US Minority",1,45.0,3.733555555555556,0,False
Vitale,Stephen,HIST 281: Constructing Race in America,Constructing Race in America,0.0,0.0,[],[],0.0,,0.3191489361702128,0.5106382978723404,0.06382978723404255,0.0,0.0425531914893617,0.0,0.0425531914893617,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,['fa2023'],2.0,"Humanities - Hist & Phil, Cultural Studies - US Minority",1,47.0,3.815744680851063,0,False
Burgos,Adrian,HIST 281: Constructing Race in America,Constructing Race in America,3.0,9.0,[],[],19.0,4.6,0.11904761904761904,0.5380952380952381,0.14285714285714285,0.05714285714285714,0.05476190476190476,0.016666666666666666,0.007142857142857143,0.023809523809523808,0.007142857142857143,0.002380952380952381,0.0,0.002380952380952381,0.02857142857142857,"['fa2018', 'fa2020', 'fa2021', 'fa2022', 'fa2023', 'sp2020', 'fa2025']",23.0,"Humanities - Hist & Phil, Cultural Studies - US Minority",6,420.0,3.632880952380953,0,True
Ramirez,Yuridia,HIST 281: Constructing Race in America,Constructing Race in America,6.0,0.0,[],[],0.0,,0.35714285714285715,0.32142857142857145,0.14285714285714285,0.08035714285714286,0.03571428571428571,0.0,0.017857142857142856,0.017857142857142856,0.0,0.008928571428571428,0.0,0.0,0.017857142857142856,['fa2024'],5.0,"Humanities - Hist & Phil, Cultural Studies - US Minority",1,112.0,3.7025000000000006,0,False
Lan,You,HIST 283: Asian American History,Asian American History,0.0,0.0,[],[],0.0,,0.043478260869565216,0.2608695652173913,0.34782608695652173,0.10869565217391304,0.10869565217391304,0.08695652173913043,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.021739130434782608,"['sp2022', 'sp2023']",2.0,"Humanities - Hist & Phil, Cultural Studies - US Minority",2,46.0,3.4504347826086956,0,False
Zheng,Reanne,HIST 283: Asian American History,Asian American History,0.0,0.0,[],[],0.0,,0.18181818181818182,0.22727272727272727,0.13636363636363635,0.045454545454545456,0.22727272727272727,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,['sp2022'],1.0,"Humanities - Hist & Phil, Cultural Studies - US Minority",1,22.0,3.212727272727273,0,False
Espiritu,Augusto,HIST 283: Asian American History,Asian American History,1.0,1.0,[],[],17.0,3.8,0.0782608695652174,0.24347826086956523,0.21739130434782608,0.0782608695652174,0.1565217391304348,0.10434782608695652,0.02608695652173913,0.0,0.034782608695652174,0.0,0.017391304347826087,0.0,0.043478260869565216,"['fa2019', 'fa2020', 'sp2017', 'sp2018', 'sp2019', 'sp2022', 'sp2023', 'sp2024', 'sp2025']",10.0,"Humanities - Hist & Phil, Cultural Studies - US Minority",8,115.0,3.2298260869565225,0,False
Asaka,Ikuko,HIST 285: US Gender History to 1877,US Gender History to 1877,3.0,2.0,[],[],7.0,4.4,0.056179775280898875,0.5842696629213483,0.15730337078651685,0.0449438202247191,0.033707865168539325,0.02247191011235955,0.02247191011235955,0.02247191011235955,0.011235955056179775,0.011235955056179775,0.011235955056179775,0.0,0.02247191011235955,"['fa2018', 'fa2020', 'fa2021', 'sp2024']",4.0,"Humanities - Hist & Phil, Cultural Studies - US Minority",4,89.0,3.5921348314606742,0,False
Osei,Cassandra,HIST 287: African-American Women,African-American Women,0.0,0.0,[],[],0.0,,0.5428571428571428,0.2571428571428571,0.11428571428571428,0.08571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['sp2021'],1.0,"Humanities - Hist & Phil, Cultural Studies - US Minority",1,35.0,3.9048571428571432,0,False
Barrett,Marsha,HIST 293: The President and the People,The President and the People,9.0,0.0,[],[],0.0,,0.16666666666666666,0.4166666666666667,0.125,0.125,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,"['fa2024', 'sp2019', 'sp2024', 'fa2025']",2.0,"Humanities - Hist & Phil, Cultural Studies - Western",3,24.0,3.4445833333333336,0,True
Crane,William,HIST 293: The President and the People,The President and the People,0.0,0.0,[],[],0.0,,0.16666666666666666,0.4166666666666667,0.125,0.125,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,['fa2024'],1.0,"Humanities - Hist & Phil, Cultural Studies - Western",1,24.0,3.4445833333333336,0,False
Fu,Poshek,HIST 300: Topics in Film and History,Topics in Film and History,2.0,2.0,[],[],24.0,3.4,0.07692307692307693,0.3269230769230769,0.15384615384615385,0.057692307692307696,0.15384615384615385,0.11538461538461539,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.0,0.019230769230769232,0.019230769230769232,"['fa2020', 'sp2020', 'sp2022', 'sp2023']",4.0,,4,52.0,3.295576923076923,0,False
Sepkoski,David,HIST 300: Topics in Film and History,Topics in Film and History,12.0,0.0,[],[],15.0,3.7,0.05084745762711865,0.3728813559322034,0.1864406779661017,0.1694915254237288,0.0847457627118644,0.05084745762711865,0.03389830508474576,0.0,0.01694915254237288,0.0,0.0,0.0,0.03389830508474576,"['fa2022', 'fa2023']",2.0,,2,59.0,3.4408474576271186,0,False
Steinberg,Mark,HIST 300: Topics in Film and History,Topics in Film and History,3.0,3.0,[],[],14.0,5.0,0.06896551724137931,0.41379310344827586,0.1724137931034483,0.1724137931034483,0.10344827586206896,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.034482758620689655,0.0,"['sp2017', 'sp2021']",2.0,,2,29.0,3.540344827586207,0,False
