Date,UIUC_Tests,UIUC_Confirmed,B10_Tests,B10_Confirmed,Illinois_Tests,Illinois_Confirmed,Illinois_Deaths,US_Tests,US_Confirmed,US_Deaths,IL-UIUC_Tests,IL-UIUC_Confirmed,pctIL_Tests,pctUS_Tests,pctIL_Confirmed,pctUS_Confirmed,ILxUIUC_pctPos,Illinois_pctPos
2020-09-02,203516.0,1425,351490.0,8122.0,4121575.0,240344,8300,79644494.0,6095534,185801,3918059.0,238919,4.93782109994359,0.2555305329706784,0.5929001764138069,0.023377771332257356,6.097891838790585,5.831363010499627
2020-09-03,218357.0,1513,371913.0,8577.0,4162370.0,241704,8324,80379571.0,6139311,186868,3944013.0,240191,5.245977652154902,0.27165733442394213,0.6259722635951411,0.02464445928867262,6.090015423377154,5.806884058841478
2020-09-04,232561.0,1617,408698.0,9650.0,4311869.0,247298,8362,81291589.0,6189453,187835,4079308.0,245681,5.393508012418745,0.2860824875744525,0.6538669944762998,0.026125087305776454,6.022614619930636,5.735285557144709
2020-09-05,235170.0,1654,417014.0,9943.0,4373804.0,250102,8385,82097849.0,6232569,188608,4138634.0,248448,5.3767841448770906,0.2864508666968851,0.6613301772876666,0.026538013458013862,6.003140166538041,5.718180329982779
2020-09-06,238157.0,1691,429080.0,10251.0,4420300.0,251515,8390,82836567.0,6263967,189019,4182143.0,249824,5.387801732914055,0.28750225730624496,0.672325706220305,0.026995672231351155,5.9735881819440415,5.689998416397077
2020-09-07,244456.0,1760,447397.0,11717.0,4449275.0,252884,8398,83425476.0,6287484,189293,4204819.0,251124,5.494288395300358,0.29302320073067367,0.6959712753673621,0.027992118946147615,5.9722903649360415,5.683712514960303
2020-09-08,256077.0,1841,465885.0,12300.0,4480638.0,254276,8405,83962996.0,6314339,189740,4224561.0,252435,5.715190559915798,0.3049879258715351,0.7240164230993094,0.029155862553467592,5.975413776721416,5.674995391281331
2020-09-09,268070.0,1888,486680.0,12878.0,4528667.0,255613,8433,84556989.0,6348188,190923,4260597.0,253725,5.9194018902250924,0.31702879107958776,0.7386165805338539,0.029740770122119887,5.955151355549469,5.644331985548948
2020-09-10,274696.0,1922,501085.0,13402.0,4577649.0,257566,8461,85179507.0,6384163,191830,4302953.0,255644,6.000809585881312,0.3224907136407822,0.7462165037310825,0.03010574761327366,5.94112926634337,5.626600029840645
2020-09-11,285949.0,1957,527560.0,14345.0,4634477.0,259879,8505,87225437.0,6431466,193043,4348528.0,257922,6.170038172592075,0.3278275349884461,0.7530427622085663,0.030428521273376863,5.931248459248739,5.607515152195167
2020-09-12,289958.0,1967,534352.0,14534.0,4691071.0,261999,8527,88046815.0,6472367,193753,4401113.0,260032,6.181061851334162,0.3293225314283089,0.750766224298566,0.030390736495628262,5.90832364449629,5.585057228935567
2020-09-13,294526.0,1984,549035.0,14919.0,4737961.0,263459,8541,88818290.0,6506533,194139,4443435.0,261475,6.216302751331216,0.33160512322405666,0.7530583506352032,0.03049242968567131,5.884524022518614,5.5605987470137475
2020-09-14,304740.0,2024,578518.0,15897.0,4773891.0,264831,8546,89602117.0,6540379,194563,4469151.0,262807,6.3834720985460285,0.3401035714368222,0.7642609815316183,0.030946218865909758,5.88046812470646,5.5474873640809985
2020-09-15,315972.0,2069,595244.0,16124.0,4812922.0,266295,8564,89986137.0,6579728,195851,4496950.0,264226,6.565076267597937,0.351134086353768,0.7769578850522917,0.03144506885391007,5.875671288317638,5.53291742521487
2020-09-16,325937.0,2093,612636.0,16440.0,4865233.0,268238,8599,90709159.0,6618161,196830,4539296.0,266145,6.699309159499658,0.35932093692986394,0.7802772165017634,0.03162509948005193,5.863133842780907,5.513363902612681
2020-09-17,333739.0,2111,627280.0,16662.0,4923033.0,270294,8624,91545027.0,6663061,197700,4589294.0,268183,6.779133920085443,0.36456267580761104,0.781001428074615,0.031682135282867736,5.843665714159956,5.49039585962556
2020-09-18,344303.0,2138,652717.0,17600.0,4985054.0,272517,8647,93148481.0,6711680,198632,4640751.0,270379,6.906705524152797,0.3696281424063158,0.7845382122950127,0.031854915609802616,5.826190631645611,5.46668100285373
2020-09-19,348436.0,2151,660759.0,17753.0,5059340.0,275041,8672,94209892.0,6754647,199347,4710904.0,272890,6.886985258946819,0.3698507583471171,0.7820652193672943,0.03184474333003635,5.792731076668088,5.436301968240917
2020-09-20,352819.0,2162,674857.0,18204.0,5107351.0,276443,8686,95106988.0,6792454,199589,4754532.0,274281,6.908062516165425,0.37097063782526685,0.7820780414045572,0.031829438962707735,5.768832768398656,5.412649336221458
2020-09-21,363293.0,2204,705211.0,18732.0,5145585.0,277920,8693,95839710.0,6843972,200015,4782292.0,275716,7.060285662368807,0.3790631252953499,0.7930339666090962,0.032203521580742876,5.765352680262937,5.401135147898636
2020-09-22,374323.0,2266,721628.0,18933.0,5187414.0,279453,8722,96610865.0,6883437,201038,4813091.0,277187,7.215984689095569,0.3874543510194221,0.8108698063717333,0.03291960106557233,5.7590226322336315,5.387135092745634
2020-09-23,383994.0,2294,738402.0,19103.0,5233805.0,281303,8744,97458171.0,6921997,202139,4849811.0,279009,7.336803721193281,0.39400903593809494,0.8154907697393914,0.033140725140447184,5.752987075166434,5.374732149936805
2020-09-24,393080.0,2321,756512.0,19295.0,5295876.0,283559,8774,98479455.0,6967687,203057,4902796.0,281238,7.422379224891217,0.3991492438702062,0.8185245398664828,0.0333109107800049,5.7362778300382065,5.35433609095077
2020-09-25,404170.0,2362,779747.0,19966.0,5365960.0,286332,8807,99482141.0,7015737,203996,4961790.0,283970,7.53210981818724,0.40627392609091517,0.824916530461143,0.033667168538387346,5.723136206893077,5.336081521293487
2020-09-26,408062.0,2379,788706.0,20082.0,5431177.0,288773,8832,100490965.0,7059974,204742,5023115.0,286394,7.513325380483825,0.4060683465423981,0.8238304827667406,0.03369700794932106,5.701521864420783,5.316950635193808
2020-09-27,412470.0,2407,802258.0,20376.0,5481999.0,290373,8845,101297223.0,7097217,205024,5069529.0,287966,7.5240801758628555,0.4071878653573751,0.8289338196044398,0.03391470205856746,5.680330460679878,5.296845183663843
2020-09-28,423206.0,2443,832160.0,20752.0,5523141.0,292082,8858,102340845.0,7129408,205345,5099935.0,289639,7.662415281449451,0.41352599736693596,0.8364089536500025,0.0342665197446969,5.679268461264702,5.288331404177442
2020-09-29,433843.0,2479,849497.0,20880.0,5568765.0,293448,8881,103153618.0,7172182,206257,5134922.0,290969,7.7906501710882035,0.42057952829148465,0.8447834028516126,0.03456409778781409,5.666473609530972,5.269534627516155
2020-09-30,444197.0,2511,866607.0,20988.0,5627311.0,295720,8916,103938096.0,7213326,207190,5183114.0,293209,7.8935925169232695,0.4273668819178677,0.8491140267820911,0.0348105714340375,5.657004650100307,5.25508542179382
2020-10-01,451774.0,2538,884655.0,21110.0,5692926.0,297884,8940,104844057.0,7258592,208044,5241152.0,295346,7.935708280768097,0.4309009141071296,0.8520095070564381,0.034965458865851666,5.635135176388703,5.232528931519574
2020-10-02,462539.0,2556,907260.0,21670.0,5765867.0,300340,8992,105962577.0,7312775,208968,5303328.0,297784,8.02201993212816,0.43651165637468403,0.8510354931078111,0.03495253169966258,5.61504021625666,5.208930417576402
2020-10-03,466390.0,2565,914930.0,21762.0,5837501.0,302782,9023,106938491.0,7361385,209649,5371111.0,300217,7.989548952539794,0.43612921375522307,0.8471441499164415,0.03484398655959443,5.589476739542341,5.186842794545131
2020-10-04,470764.0,2569,929568.0,22087.0,5889157.0,304235,9040,107873217.0,7397455,209998,5418393.0,301666,7.993741718891176,0.43640489557292056,0.8444130359754795,0.03472815988742074,5.567444074285494,5.166019516885014
2020-10-05,481906.0,2617,958969.0,22511.0,5927695.0,306088,9054,108829611.0,7436312,210460,5445789.0,303471,8.129736769520024,0.44280779428679573,0.8549828807401793,0.03519217590655153,5.5725809428165505,5.163693476131954
2020-10-06,492275.0,2642,975615.0,22640.0,5977208.0,307705,9085,109645221.0,7479029,211165,5484933.0,305063,8.235868653056745,0.4489707763916131,0.8586145821484864,0.03532544131063003,5.56183639800158,5.1479720966712215
2020-10-07,502055.0,2663,992651.0,22766.0,6036028.0,310335,9127,111075470.0,7529600,212090,5533973.0,307672,8.317638685572698,0.45199448627136124,0.8581049511012293,0.035367084572885676,5.559694635300895,5.141377740461111
2020-10-08,510008.0,2677,1010718.0,22898.0,6108519.0,313429,9159,112116121.0,7587826,213064,5598511.0,310752,8.349126850550846,0.4548926554460442,0.8541009287589852,0.03528019751639007,5.5506187270150935,5.131014571617114
2020-10-09,519875.0,2687,1032272.0,23245.0,6180417.0,316546,9191,113346042.0,7643776,214029,5660542.0,313859,8.411649246321081,0.4586618031179245,0.8488497722289967,0.03515278312708274,5.544681057043654,5.1217579655223915
2020-10-10,523439.0,2698,1039985.0,23306.0,6246673.0,319451,9221,114479220.0,7697676,214656,5723234.0,316753,8.379484567224825,0.45723494621993405,0.8445739722210918,0.03504953962728491,5.534510732917788,5.113938251610097
2020-10-11,527797.0,2706,1056156.0,23771.0,6310720.0,322178,9230,115422865.0,7743468,215078,5782923.0,319472,8.363498935145277,0.45727248236300494,0.8399083736319675,0.03494558252193978,5.524403489377258,5.10524948024948
2020-10-12,537370.0,2729,1085095.0,24133.0,6358299.0,324918,9243,116426443.0,7784396,215415,5820929.0,322189,8.451474207173963,0.46155322292204704,0.839904221988317,0.035057312089467184,5.53500996146835,5.110140306393267
2020-10-13,547427.0,2743,1101555.0,24248.0,6414292.0,327771,9273,117356010.0,7837182,216212,5866865.0,325028,8.534488295824387,0.46646694958357904,0.836864762288305,0.034999825192269365,5.540062708107311,5.110010582617692
2020-10-14,556759.0,2754,1118598.0,24385.0,6466961.0,330637,9320,118367314.0,7896552,217192,5910202.0,327883,8.60928340220391,0.47036549296032854,0.8329376325093683,0.0348759813143762,5.547746083805595,5.11271059157462
2020-10-15,564536.0,2763,1136866.0,24490.0,6534047.0,334651,9373,119378730.0,7960813,218025,5969511.0,331888,8.639913364565636,0.47289496210924675,0.8256362598647546,0.03470751040126178,5.559718375592238,5.121649721833957
2020-10-16,574236.0,2772,1158028.0,24844.0,6622355.0,339757,9425,122663782.0,8029175,218934,6048119.0,336985,8.671175133317377,0.4681381827930269,0.815877229902548,0.03452409494126109,5.5717323022248735,5.130455857470643
2020-10-17,577902.0,2774,1165535.0,24893.0,6699844.0,343386,9452,123829334.0,8085940,219681,6121942.0,340612,8.625603820029243,0.46669232671476696,0.8078372443838712,0.03430646282312261,5.563790052241592,5.125283514063909
