Date,UIUC_Tests,UIUC_Confirmed,B10_Tests,B10_Confirmed,Illinois_Tests,Illinois_Confirmed,Illinois_Deaths,US_Tests,US_Confirmed,US_Deaths,IL-UIUC_Tests,IL-UIUC_Confirmed,pctIL_Tests,pctUS_Tests,pctIL_Confirmed,pctUS_Confirmed,ILxUIUC_pctPos,Illinois_pctPos
2020-08-05,18303.0,66.0,37407.0,522.0,2897344.0,187752,7770,58919579.0,4821504,158836,2879041.0,187686.0,0.6317164962117029,0.031064376749874605,0.03515275469768631,0.0013688674737177445,6.519045751693012,6.480141812639438
2020-08-06,20126.0,71.0,39274.0,528.0,2939030.0,189705,7791,59651279.0,4881150,160089,2918904.0,189634.0,0.6847837551845337,0.03373942744798481,0.0374265306660341,0.001454575253782408,6.496753575999759,6.454680625920797
2020-08-07,22635.0,77.0,41894.0,536.0,2985918.0,191808,7822,60414162.0,4939494,161331,2963283.0,191731.0,0.758058325781217,0.03746638081316099,0.04014431097764431,0.0015588641265684299,6.470222385104629,6.423753097037494
2020-08-08,22635.0,77.0,41968.0,537.0,3033934.0,193998,7840,61079191.0,4995194,162408,3011299.0,193921.0,0.7460610547230098,0.03705844761434381,0.03969113083640038,0.0015414816721833027,6.43977897910503,6.394272255098496
2020-08-09,22635.0,77.0,44226.0,543.0,3075288.0,195380,7845,61791175.0,5041320,162919,3052653.0,195303.0,0.7360286256116501,0.03663144453880348,0.03941037977275054,0.0015273777502717541,6.3978120015606095,6.353226104351853
2020-08-10,26745.0,79.0,49385.0,569.0,3107641.0,196699,7846,62511778.0,5091092,163446,3080896.0,196620.0,0.8606206444051935,0.04278393745255494,0.04016288847426779,0.0015517299628449064,6.381909678223478,6.3295277672034835
2020-08-11,30355.0,83.0,53384.0,584.0,3149003.0,198248,7866,63250861.0,5138004,164510,3118648.0,198165.0,0.9639558933414798,0.047991441571048336,0.041866752754126144,0.00161541330057353,6.35419579253574,6.295579902591392
2020-08-12,32793.0,87.0,56490.0,596.0,3191101.0,199893,7881,63714152.0,5195012,166015,3158308.0,199806.0,1.0276390499705275,0.05146894209625516,0.04352328495745224,0.0016746833308565986,6.326362090081145,6.264076254559163
2020-08-13,32793.0,87.0,57857.0,601.0,3237107.0,201727,7905,64829910.0,5246994,167085,3204314.0,201640.0,1.0130341690898694,0.0505831336184178,0.0431275932324379,0.0016580922333816277,6.292766564075805,6.231706273533745
2020-08-14,32793.0,87.0,59123.0,617.0,3286680.0,204023,7932,65675228.0,5311599,168423,3253887.0,203936.0,0.9977545730037606,0.04993206875505632,0.042642251118746415,0.0016379248508782383,6.267457966426001,6.2075711660398945
2020-08-15,34429.0,93.0,62208.0,651.0,3331094.0,205851,7937,66419177.0,5359027,169457,3296665.0,205758.0,1.033564348529342,0.05183593286619616,0.045178308582421264,0.001735389651890166,6.241398504245958,6.179681510038444
2020-08-16,36882.0,100.0,68860.0,690.0,3368183.0,207412,7955,67201705.0,5400446,170028,3331301.0,207312.0,1.0950117615343347,0.054882536090416156,0.04821321813588413,0.0018516989152377414,6.2231542571505845,6.157978945918319
